"Site_Num","Site_Type","Date","Time","Temperature_C","pH","Conductivity","Dissolved_Oxygen_Saturation","Dissolved_Oxygen_Volume","Chlorophyll"
7,"Red",2024-07-08,12H 47M 0S,26.48,7.08,158.4,60,4.81,4.24
7,"Red",2024-07-08,1H 47M 0S,27.11,7.19,172.9,70.5,5.59,4.2
7,"Red",2024-07-08,2H 47M 0S,27.96,7.21,174.7,72.9,5.7,4.06
7,"Red",2024-07-08,3H 47M 0S,28.55,7.19,169.2,71.1,5.5,3.84
7,"Red",2024-07-08,4H 47M 0S,29.11,7.18,154.2,75.6,5.79,3.75
7,"Red",2024-07-08,5H 47M 0S,29.33,7.17,132.8,88.7,6.76,3.72
7,"Red",2024-07-08,6H 47M 0S,29.43,7.18,122.5,91.3,6.95,3.87
7,"Red",2024-07-08,7H 47M 0S,29.43,7.12,129.3,76.5,5.83,4.16
7,"Red",2024-07-08,8H 47M 0S,28.98,7.04,125,69.1,5.31,3.79
7,"Red",2024-07-08,9H 47M 0S,28.59,6.97,126.4,60.6,4.68,3.93
7,"Red",2024-07-08,10H 47M 0S,28.36,6.93,122.9,57.2,4.44,5.18
7,"Red",2024-07-08,11H 47M 0S,28.04,6.9,124.2,53.7,4.19,3.88
7,"Red",2024-07-09,12H 47M 0S,27.7,6.85,124,46.1,3.62,3.65
7,"Red",2024-07-09,1H 47M 0S,27.37,6.81,124.8,37.9,2.99,3.7
7,"Red",2024-07-09,2H 47M 0S,27.05,6.78,125,31.5,2.5,3.91
7,"Red",2024-07-09,3H 47M 0S,26.73,6.75,122.9,28.4,2.27,4.21
7,"Red",2024-07-09,4H 47M 0S,26.38,6.72,120,21.6,1.73,3.67
7,"Red",2024-07-09,5H 47M 0S,26.03,6.67,114.5,18.3,1.48,3.69
7,"Red",2024-07-09,6H 47M 0S,25.68,6.62,106.7,15.4,1.25,3.98
7,"Red",2024-07-09,7H 47M 0S,25.4,6.58,97.7,14.6,1.2,4.93
7,"Red",2024-07-09,8H 47M 0S,25.27,6.52,89.3,13.4,1.1,3.71
7,"Red",2024-07-09,9H 47M 0S,25.43,6.52,90.9,14,1.15,3.51
7,"Red",2024-07-09,10H 47M 0S,25.77,6.62,111.2,17.6,1.43,3.56
7,"Red",2024-07-09,11H 47M 0S,26.26,6.7,117.9,20.7,1.67,3.59
7,"Red",2024-07-09,12H 47M 0S,26.51,6.72,121.3,23.7,1.9,3.67
7,"Red",2024-07-09,1H 47M 0S,26.86,6.91,134.5,53.3,4.25,3.6
7,"Red",2024-07-09,2H 47M 0S,27.18,7.14,140.3,70.4,5.58,3.66
7,"Red",2024-07-09,3H 47M 0S,27.41,7.06,122.3,72.2,5.7,3.37
7,"Red",2024-07-09,4H 47M 0S,27.63,7.09,114.1,78,6.13,3.25
7,"Red",2024-07-09,5H 47M 0S,27.81,7.11,117.1,80.1,6.27,3.31
7,"Red",2024-07-09,6H 47M 0S,27.97,7.2,125.1,85.9,6.71,3.36
7,"Red",2024-07-09,7H 47M 0S,27.97,7.12,126.6,73.3,5.73,3.78
7,"Red",2024-07-09,8H 47M 0S,27.69,7.08,125.5,69.2,5.43,3.67
7,"Red",2024-07-09,9H 47M 0S,27.42,7.01,123.7,61.6,4.86,3.83
7,"Red",2024-07-09,10H 47M 0S,27.2,6.94,125.5,54.5,4.31,3.29
7,"Red",2024-07-09,11H 47M 0S,26.94,6.91,123.7,48.1,3.83,3.44
7,"Red",2024-07-10,12H 47M 0S,26.72,6.86,121.4,41.9,3.35,3.53
7,"Red",2024-07-10,1H 47M 0S,26.49,6.81,119.4,35.7,2.86,3.41
7,"Red",2024-07-10,2H 47M 0S,26.25,6.78,118.7,31.1,2.51,3.46
7,"Red",2024-07-10,3H 47M 0S,26.04,6.75,117.5,26.2,2.12,3.28
7,"Red",2024-07-10,4H 47M 0S,25.83,6.72,116.7,22.6,1.84,3.21
7,"Red",2024-07-10,5H 47M 0S,25.62,6.67,115,15.7,1.28,3.45
7,"Red",2024-07-10,6H 47M 0S,25.42,6.64,113.2,10.9,0.89,3.62
7,"Red",2024-07-10,7H 47M 0S,25.29,6.61,108.6,0,0,3.68
7,"Red",2024-07-10,8H 47M 0S,25.18,6.55,97.1,0.7,0.06,3.71
7,"Red",2024-07-10,9H 47M 0S,25.11,6.52,93,5.9,0.48,3.78
7,"Red",2024-07-10,10H 47M 0S,25.01,6.56,97.8,16.8,1.38,4.62
7,"Red",2024-07-10,11H 47M 0S,24.69,6.47,76.6,14.2,1.18,3.37
